iter	Passed	Remaining
228	428	1442
229	430	1440
230	431	1437
231	433	1435
232	435	1433
233	437	1431
234	439	1429
235	440	1427
236	442	1424
237	444	1422
238	446	1421
239	448	1418
240	449	1416
241	451	1414
242	453	1412
243	455	1409
244	456	1407
245	458	1405
246	460	1402
247	461	1400
248	463	1398
249	465	1395
250	467	1393
251	468	1392
252	470	1389
253	472	1387
254	474	1385
255	475	1382
256	477	1380
257	479	1378
258	481	1376
259	482	1374
260	484	1372
261	486	1370
262	488	1368
263	490	1366
264	491	1364
265	493	1362
266	495	1359
267	497	1357
268	498	1355
269	500	1353
270	502	1351
271	504	1349
272	505	1346
273	507	1344
274	509	1342
275	511	1340
276	512	1338
277	514	1336
278	516	1333
279	517	1331
280	519	1329
281	521	1327
282	523	1325
283	525	1323
284	526	1321
285	528	1319
286	530	1317
287	532	1315
288	533	1313
289	535	1310
290	537	1308
291	538	1306
292	540	1304
293	542	1303
294	544	1301
295	546	1299
296	548	1297
297	549	1295
298	551	1292
299	553	1290
300	554	1288
301	556	1286
302	558	1284
303	560	1282
304	562	1280
305	563	1279
306	565	1276
307	567	1274
308	569	1273
309	571	1270
310	572	1268
311	574	1266
312	576	1264
313	578	1263
314	579	1260
315	581	1258
316	583	1256
317	585	1254
318	586	1253
319	588	1251
320	590	1249
321	592	1247
322	593	1244
323	595	1242
324	597	1240
325	599	1238
326	601	1237
327	602	1235
328	604	1233
329	606	1231
330	608	1229
331	609	1227
332	611	1225
333	613	1222
334	615	1220
335	616	1219
336	618	1216
337	620	1214
338	621	1212
339	623	1210
340	625	1208
341	627	1206
342	628	1204
343	630	1202
344	632	1200
345	633	1198
346	635	1196
347	637	1194
348	639	1192
349	641	1190
350	643	1189
351	645	1187
352	647	1186
353	648	1184
354	650	1182
355	652	1180
356	654	1178
357	656	1177
358	658	1175
359	659	1173
360	661	1171
361	663	1169
362	665	1167
363	666	1165
364	668	1163
365	670	1161
366	671	1159
367	673	1156
368	675	1154
369	677	1152
370	679	1151
371	680	1149
372	682	1148
373	684	1146
374	686	1144
375	688	1142
376	689	1140
377	691	1138
378	693	1136
379	695	1134
380	697	1132
381	698	1130
382	700	1128
383	702	1126
384	704	1124
385	705	1122
386	707	1120
387	709	1119
388	711	1117
389	713	1115
390	714	1113
391	716	1111
392	718	1109
393	720	1108
394	722	1106
395	724	1104
396	725	1102
397	727	1100
398	729	1098
399	730	1096
400	732	1094
401	734	1092
402	735	1090
403	737	1088
404	739	1086
405	741	1085
406	743	1083
407	745	1081
408	746	1079
409	748	1077
410	750	1075
411	752	1073
412	754	1072
413	756	1070
414	758	1068
415	759	1066
416	762	1066
417	764	1064
418	766	1062
419	767	1060
420	769	1058
421	771	1056
422	773	1055
423	775	1053
424	777	1051
425	779	1049
426	780	1047
427	782	1045
428	784	1044
429	786	1042
430	788	1040
431	790	1038
432	791	1036
433	793	1034
434	795	1033
435	797	1031
436	799	1029
437	800	1027
438	802	1025
439	804	1023
440	806	1021
441	807	1020
442	809	1018
443	811	1016
444	813	1014
445	815	1012
446	817	1010
447	818	1008
448	820	1007
449	822	1005
450	824	1003
451	825	1001
452	827	999
453	829	997
454	831	996
455	833	994
